Speaker	Start	End	Sentence	Emotion	DialogueAct
user00	2.10	6.52	As a as margin, I check in you can a.	Neutral	Statement-non-opinion
user00	7.62	17.49	Already preparing go ahead, just like tight bow, the yourer tare an active projects. Theyare are youre working on n and mus. O am.	Neutral	Statement-non-opinion
user00	18.54	19.94	Expected.	Neutral	Collaborative Completion
user00	21.14	44.51	Like work this frid so and what, on this friday, you we can expect for each of us two to share. Ah, no until, for example, te under perfect circle, o the face book, the campaign, what a mariaiming to get done by this a friday and then march fore the same for whicheper projects.	Neutral	Statement-non-opinion
user00	45.25	51.90	Am o ca? Let's, let's dive in I'll I'll start with a.	Neutral	Action-directive
user00	53.20	72.93	Estart with the celebration, a high connections assigned of another yearlong contract a last night, yea fo thatall. I allow us to continue an working together as well, ah na because there, the current me the a the most active.	Positive	Statement-non-opinion
user00	75.83	124.41	Like big client tat, really man, so am that's ausen. I m pien swene to celebrate the having boat the ugaes be able to tust the spark habbits op is really really helpful. We know a angela you leading a enjroyd and mar ju leading apple, like that's so really oscilate. So please continue doing that and with lollys free to work a with goth and to day angela to get the androy log a fixed, tosa, thagugise gen get past that io and I guess just making a note am when it is fixed for you er. You can emale sireley. So under the redolphin list, confirmi eagoes have access to the tarch habits, dolfinist.	Neutral	Statement-non-opinion
user10	76.82	78.60	Tat really man so.	Neutral	Statement-opinion
user10	129.41	131.06	A gente ai, gazeme.	Neutral	Collaborative Completion
user00	131.06	131.87	I will.	Neutral	Statement-non-opinion
user10	131.87	133.07	An to I.	Neutral	Repeat-phrase
user00	133.68	143.90	I will link it a into e spark habits, channel and I'll put it under the descriptions e so that its evy is ones.	Neutral	Statement-non-opinion
user10	143.07	144.21	Evy is ones.	Neutral	Statement-non-opinion
user10	145.44	146.50	Fillors.	Neutral	Collaborative Completion
user00	147.50	159.75	O kavs well so indeed spark heave with slack turnel edges atic the dultinist anu, once android is up. You can message, I shirley shirley has an android.	Neutral	Statement-non-opinion
user10	159.75	160.44	Ccuwel.	Neutral	Statement-non-opinion
user00	161.74	162.99	Ound.	Neutral	Appreciation
user00	163.65	165.65	And they just olt. Let me go like a note.	Negative	Statement-non-opinion
user00	166.40	167.37	An.	Neutral	Statement-non-opinion
user10	169.96	170.50	On.	Neutral	Collaborative Completion
user00	171.46	172.57	They enjoy de.	Neutral	Statement-non-opinion
user10	171.49	171.73	They.	Neutral	Statement-non-opinion
user10	172.42	175.98	Ha thenjoy dter ther, not emain, saii,.	Neutral	Statement-non-opinion
user00	173.23	174.21	Dter.	Neutral	Statement-non-opinion
user10	176.88	178.06	Bu danton san tai.	Neutral	Hold before answer/agreement
user00	178.09	179.09	And dree da.	Neutral	Agree/Accept
user10	179.63	181.13	E go rai, onula.	Neutral	Conventional-closing
user10	184.91	186.63	Wens wont on er.	Neutral	Statement-non-opinion
user10	187.41	190.95	The fell, it is atis luse, mine, comparson, your mploye.	Neutral	Statement-non-opinion
user00	190.95	194.02	An there's, a nessa as well.	Neutral	Statement-non-opinion
user10	194.02	197.53	Ate as awarin and orly te.	Neutral	Statement-non-opinion
user00	194.83	195.67	Ate as.	Neutral	Collaborative Completion
user10	198.29	202.00	I mn here on land, an ok, a on in.	Neutral	Statement-non-opinion
user00	200.47	200.91	Ok, a.	Neutral	Response Acknowledgement
user00	204.62	206.68	So big moston there is ye.	Neutral	Statement-opinion
user00	208.36	213.48	Oh yes, yes, surely yeh ou gies can connect with that ly. Am.	Neutral	Agree/Accept
user00	214.84	215.76	Fouqut, I think.	Neutral	Statement-opinion
user10	216.14	218.47	That her ons a long apet ite.	Neutral	Abandoned or Turn-Exit
